uf,uf_codigo,ano,populacao,fonte,metodo
MA,21,2026,7331577,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PI,22,2015,3237691,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PI,22,2016,3246228,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PI,22,2017,3254626,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PI,22,2018,3263754,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PI,22,2019,3272447,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PI,22,2020,3280697,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PI,22,2021,3288504,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PI,22,2022,3295812,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PI,22,2023,3302519,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PI,22,2024,3308547,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PI,22,2025,3313867,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PI,22,2026,3318480,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
CE,23,2015,8905267,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
CE,23,2016,8962834,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
CE,23,2017,9018764,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
CE,23,2018,9076426,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
CE,23,2019,9132858,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
CE,23,2020,9187886,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
CE,23,2021,9241366,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
CE,23,2022,9293112,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
CE,23,2023,9342908,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
CE,23,2024,9390560,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
CE,23,2025,9435907,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
CE,23,2026,9478838,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RN,24,2015,3393814,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RN,24,2016,3422843,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RN,24,2017,3450669,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RN,24,2018,3479010,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RN,24,2019,3506853,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RN,24,2020,3534165,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RN,24,2021,3560903,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RN,24,2022,3586972,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
RN,24,2023,3612280,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
